zipcode,agg_count_log,price_log,person_capacity,review_rating_location,review_length_log,crime_words_perc_old,sentiment_neg_avg,lda2,lda3,lda4,lda5,lda_pca1,lda_pca2,d2v_pca1,d2v_pca2,crime_score,crime_score_log,race_index,gini_index,edu_bachelors,age_25_34,square_feet_log,listings_count_log,gentrifying,non_gentrifying,higher_income,crime_score_norm,gentrification_score
11375.0,4.385137077150176,4.541913095568234,2.671,9.619333333333332,3.3146386629014497,0.0029476787030213707,0.012127991037613778,0.1723603919698318,0.21971429372477583,0.20187060275233237,0.24879777835212558,0.005028002689993778,0.002090592547738721,-0.01572858858449314,-0.026621581520452558,3812.6666666666665,8.243347348765537,0.5243429484932373,0.45981194319513935,0.5787467431525389,0.14726081707204383,6.664619688972244,2.8544377090099307,0.0,0.0,1.0,0.12560321414944,0.507174668155409
11377.0,5.826042209657838,4.394482870525153,2.8143333333333334,9.009666666666668,3.4394909902847637,0.008351756325227217,0.01622598453031926,0.1720415944557675,0.184073475361807,0.22790257768528907,0.28698925336157405,0.06660575852418756,0.00695910538894982,-0.0895502323331208,-0.05488580441783411,5104.333333333333,8.53546607553983,0.6229196469842767,0.4223749432324742,0.28572373637308673,0.19183481899400553,4.736916004059005,3.6016631556456145,0.0,0.0,1.0,0.16909074585325337,0.42158462115240725
11378.0,3.600958158765814,3.8442291230736174,1.7955,8.7815,3.5243917500166413,0.0014738393515106856,0.013327380952380955,0.09763835348809759,0.10715489015426663,0.31557407873527454,0.37556285094580655,0.2042008317381102,0.06567403159889106,-0.138243332283322,-0.09344925998175274,2996.0,8.005222256914557,0.39797665760852396,0.4593212367035448,0.25911360293626784,0.1593271207809448,6.561022623945062,1.5890269151739727,0.0,0.0,1.0,0.09810787152380311,0.47633548625768607
11379.0,3.9369891898022504,4.32523808659467,2.5549999999999997,8.9475,3.3653627053804662,0.0025792188651436996,0.012064880952380952,0.18626712527780218,0.12821878386635538,0.27323096227566046,0.24522115032961,0.0525947207649875,0.085148287711172,-0.04380940182035123,0.007775306339194773,3320.5,8.10662663683593,0.29574316111393273,0.42165265639778227,0.3138775032013654,0.12751927183941003,7.467371066917559,1.4451858789480823,0.0,0.0,1.0,0.10903306174668373,0.4916546417155883
11385.0,6.114110440620429,4.227868240571392,2.7136666666666667,8.474333333333332,3.3852515796481497,0.01007123556865635,0.016568277065428287,0.13702082380285655,0.20736840845635574,0.3027200257981564,0.22556997366855266,0.025074303957042063,0.03129267844358891,-0.05334856039605033,-0.02828831719547378,5416.0,8.593748865506088,0.31649124968680553,0.43389000599078525,0.22212282250324888,0.1703852628668149,6.057037539522672,3.727932067534758,0.0,0.0,1.0,0.1795838664063026,0.4660645950535482
11412.0,3.49650756146648,4.364295360643567,3.062,9.0,3.2544842523355686,0.002210759027266028,0.015718750000000004,0.07576524940668605,0.17779762062127702,0.22626623266842216,0.34771377133438364,0.10989883314951496,0.05125821111891561,-0.04794647829072088,0.007048728373841118,4924.0,8.502079553606189,0.21950756091973744,0.3950764891196741,0.22490409549325704,0.12696123679168525,6.561022623945062,1.3862943611198906,0.0,0.0,1.0,0.16301932529795973,0.4728829870373838
11415.0,4.194679909953177,4.11365646034799,3.013,9.064331293706292,3.4747508332077834,0.0014738393515106854,0.009064012215175006,0.12767489561108825,0.18620130712670047,0.23864173534242464,0.3053664012476478,0.08171061050481415,0.023808922999801804,-0.05455566756839743,-0.04356542089599546,2582.0,7.856704919559961,0.5846404281110154,0.4356705769896507,0.45854755423963073,0.18718993157148364,6.561022623945062,1.647918433002165,0.0,0.0,1.0,0.08416941620092923,0.4825196436977641
11416.0,3.828641396489095,4.749755260945649,2.556,9.0,3.5939580876008166,0.004421518054532056,0.01588888888888889,0.1620863420681821,0.2937271242754327,0.19172599222511053,0.20677034341626696,-0.05944680838154522,-0.04510404258761632,-0.049337594960050565,-0.032647476620324106,5465.0,8.606302366488013,0.7331196810991969,0.4194467792140131,0.21629919890314345,0.14790186636149885,6.561022623945062,1.3862943611198906,0.0,0.0,1.0,0.1812335869638408,0.3738589152831235
11418.0,4.763898348761697,4.084616321043929,1.9233333333333331,8.881333333333332,3.4305730202170803,0.003930238270695161,0.012388373500844018,0.10004179811537317,0.11812442532561633,0.24839461813444433,0.38145178113163974,0.1730083601266029,0.07108171278710886,-0.12309519118029007,-0.005993575033055706,3541.6666666666665,8.172200060357676,0.734468812753524,0.4083746663527563,0.26234774276614187,0.16605881338318193,6.4762960850530655,1.7917594692280552,0.0,0.0,1.0,0.11647924943325927,0.3971666320630594
11420.0,4.043051267834549,4.0943445622221,2.0,9.128662587412586,3.1630610457618045,0.01105379513633014,0.012428571428571428,0.10107392396977437,0.18917730921280704,0.3382732895302719,0.20109365501308016,0.008689788158495448,0.0937706565681444,-0.09278242223217548,0.03271970535720788,4760.0,8.46821300919452,0.7764652712212409,0.4330002163187601,0.17507782846689224,0.14037841847864913,6.561022623945062,0.0,0.0,0.0,1.0,0.15749781159517878,0.3628986760895764
11421.0,4.48863636973214,4.022311359322268,2.193,8.887,3.1775802333701137,0.0,0.011215909090909092,0.08360193844418973,0.1347271366447041,0.2814840312031182,0.3565114526480267,0.15592608640890895,0.07333930450353485,-0.11049547617972227,-0.023172631961715803,6541.0,8.785998208098329,0.678884117747657,0.4276491438504309,0.2156598207657225,0.14641745416447524,6.561022623945062,2.0794415416798357,0.0,0.0,1.0,0.21746010369672075,0.37867643946725016
11422.0,3.4558034100719532,4.177376700484791,2.7439999999999998,8.905887529137528,3.1503199946347142,0.0014738393515106856,0.01506950796950797,0.08562310205878797,0.08903015386402698,0.284509169036584,0.3506462570106996,0.15648491180159887,0.13373819371311815,-0.13035772129259654,-0.030010687234932772,427.6666666666667,6.058578671523051,0.2530755993599693,0.36350661638425663,0.28903625202675665,0.15218093110869327,6.561022623945061,0.9985774245179971,0.0,0.0,1.0,0.011637824613381816,0.5080020751092711
11427.0,3.3672958299864737,4.112037121753018,1.964,8.296,3.3347522822540028,0.0,0.0195,0.0687659061181226,0.14417428127489984,0.2452125271915325,0.27774710510857403,0.042226160493325685,0.15100362357000727,-0.16628632790139536,0.0702812037186857,1601.0,7.379008127628304,0.7461877322057262,0.4454977936111391,0.32214156180620196,0.12922638531774286,6.561022623945062,1.0986122886681098,0.0,0.0,1.0,0.0511413372836846,0.41990733424913457
