zipcode,disadvantaged,index_change,t1_index_perc,t1_age_perc,t1_edu_perc,t1_income_perc,t1_house_perc,t2_index_perc,t2_age_perc,t2_edu_perc,t2_income_perc,t2_house_perc,count_listings,count_reviews,price,bedrooms,star_rating,review_rating_location,review_len,location_words_perc,sent_comp,sent_comp_location,lda_1,lda_2,lda_3,lda_4,lda_5,dtv_1,dtv_2,dtv_3,dtv_4,dtv_5,dtv_6,dtv_7,dtv_8,dtv_9,dtv_10,dtv_11,dtv_12,dtv_13,dtv_14,dtv_15,dtv_16,dtv_17,dtv_18,dtv_19,dtv_20,dtv_21,dtv_22,dtv_23,dtv_24,dtv_25
11211.0,True,44.81132075471698,33.9622641509434,72.64150943396227,41.0377358490566,23.58490566037736,26.41509433962264,78.77358490566037,91.50943396226415,66.0377358490566,50.9433962264151,71.22641509433963,5701,82706,139.68734491315138,1.202207191171235,4.7084942084942085,9.679122386013027,26.093963405098272,0.2291746764316878,0.8546536620966482,0.908491644877585,0.07021951612850677,0.12990802599693732,0.417030573521916,0.2046893955424066,0.17173335383668184,0.15322503186973474,-0.10738864807135756,0.004841477537176104,-0.0802373929801227,0.004442220516491896,-0.13746368090252264,-0.06573066722428282,-0.060123700935561714,0.10623492376265996,0.04157847781416425,-0.14119878480153986,0.021913248395352858,0.04405682163055465,-0.11169822885931972,-0.029291553874603988,0.2123505670704412,-0.15195560890264082,0.03529374790042829,-0.1567578508731152,-0.0322749141541706,-0.06552463439030734,0.02081034523482739,0.08263695374810166,0.06152977326424758,0.22893263868751115
11216.0,True,46.22641509433963,25.0,50.0,26.88679245283019,25.94339622641509,25.0,71.22641509433963,87.26415094339623,71.22641509433963,42.924528301886795,39.62264150943396,2755,41995,96.96170839469809,1.1958533876342097,4.623307198859586,8.989795918367347,25.924059483152714,0.2023192389483276,0.8282325221179444,0.8854264599180807,0.06854478530454032,0.16281568018710688,0.39228022167523297,0.1589009836611381,0.2113421207607573,0.14758551714514107,-0.0620288770979189,0.02354185521625192,-0.1031731707325073,0.0017775333875459137,-0.1150171235092407,-0.05528905293317938,-0.07003460086606914,0.1002472592534793,-0.002563532284011081,-0.14446555172833772,0.007897138251272584,0.026244368740459663,-0.09393102658721617,-0.025775328533178,0.2172381069930376,-0.13390173159462812,0.030538982048365592,-0.16582430618893376,-0.02815917910457252,-0.06542429686263053,0.02579531308670858,0.06410335322396778,0.06293218390997042,0.22186311332871395
11237.0,True,38.443396226415096,27.12264150943396,71.22641509433963,15.094339622641508,21.698113207547173,32.54716981132077,65.56603773584905,86.7924528301887,43.867924528301884,37.264150943396224,58.49056603773585,2354,31914,79.49634408602152,1.1051724137931034,4.622057541412381,9.178260869565216,24.521505743982488,0.2065060151689506,0.8263278651531729,0.8903130920859077,0.07061897946628758,0.15297851689753791,0.4216877930307966,0.15663229760482572,0.19221394750253573,0.14157826354111014,-0.08445413074140677,0.013041543694449405,-0.11155498309415776,0.009412205073299228,-0.12988268565999592,-0.06997542738261317,-0.05968625287831581,0.0903615286752061,0.012051327644334229,-0.12450893065856895,0.01884416494763026,0.035335092746711164,-0.10085249735220887,-0.02961531653071085,0.20738814151840684,-0.13315384025011634,0.037538963913082,-0.1567894941182403,-0.029169051478262768,-0.06001945016565902,0.02790882897566216,0.07723259104252454,0.052866274891615016,0.22354141849899475
10027.0,False,8.726415094339622,52.83018867924528,78.30188679245283,77.35849056603773,29.716981132075468,25.47169811320755,61.5566037735849,75.0,79.24528301886792,34.43396226415094,30.188679245283016,2003,31558,111.48014256619145,1.1357835630423685,4.636857707509882,9.25422138836773,25.77694543828265,0.22194778685543484,0.8191721675611211,0.8784709378095188,0.07244197917572757,0.15976211125337667,0.38229896839685606,0.13362388305867798,0.2459300186113801,0.15145828318068955,-0.04424961027750403,0.0320113673044932,-0.0939794108067429,0.011088699294148838,-0.12565868595541954,-0.04047641907036914,-0.07500737333088034,0.10084833774973337,0.001274736322325061,-0.14482273234265844,0.01106523998650547,0.02832551045494348,-0.08572100157667235,-0.014435725154413654,0.2151428930619484,-0.13258404326882448,0.03154412132595385,-0.17200300876592828,-0.04041341575612742,-0.06305103636509564,0.01925450449691464,0.05927793712338202,0.06829448658817862,0.2130550854938296
11105.0,False,5.896226415094348,75.70754716981132,79.24528301886792,67.45283018867924,45.283018867924525,67.9245283018868,81.60377358490567,91.03773584905659,78.30188679245283,58.49056603773585,76.41509433962264,541,10193,91.35714285714286,1.1879699248120301,4.592833876221499,9.496815286624203,24.170463215258856,0.2489640578134368,0.7996722942779292,0.8549806537890045,0.06448463994583334,0.1742906762726544,0.3588319466954316,0.09965520853323898,0.2967824796226881,0.12887437608765187,-0.03951557505650687,0.014712220921342781,-0.11069377868235007,0.005939584442650504,-0.10271424883460203,-0.050072847723854064,-0.06544751185362198,0.08757105153722831,0.008883969189955382,-0.1467538916345136,0.01960223957916336,0.031151128004656605,-0.06617429463769069,0.0018299359349963414,0.21631597969281974,-0.1367009118068294,0.025875996759496245,-0.1761221749796129,-0.03575958690860458,-0.04929630043569142,0.025229056619758158,0.05688145789845382,0.05057876981707047,0.21373688883855507
10002.0,True,6.367924528301884,27.12264150943396,58.96226415094339,40.094339622641506,23.11320754716981,18.39622641509434,33.49056603773585,70.28301886792453,55.660377358490564,25.0,17.924528301886788,3970,66899,159.47834946510446,1.1404092071611254,4.6022034692920775,9.45692695214106,26.404234538471734,0.221923975559472,0.8195893590252947,0.8855285039509115,0.08269120002365059,0.17079570315686185,0.3917473098326972,0.1926113729089171,0.1560761912826016,0.1521509860070724,-0.08693227946290877,0.022072678906626862,-0.09023667131019762,0.005666520309906557,-0.14012340631900472,-0.02843335118910645,-0.06221412196844429,0.10276501970353692,0.031219713263634468,-0.15121444244293847,0.02708126003565635,0.04296255133977059,-0.0911923890773816,0.001886104053125313,0.1934862502376479,-0.15397945957272788,0.04106964935961879,-0.15792314690772508,-0.033471353677157874,-0.054882468800067655,0.00509588385140593,0.09098909455790773,0.07312379267907564,0.21978932199214274
11238.0,False,5.896226415094348,76.65094339622641,81.13207547169812,78.30188679245283,51.41509433962264,50.47169811320754,82.54716981132076,85.37735849056604,82.54716981132076,72.16981132075472,75.47169811320755,2727,37888,126.19033457249071,1.2273236282194848,4.728141072740632,9.529814941740918,26.826708146099786,0.2196735568791349,0.8553753226178132,0.9082947233808136,0.07201349801168333,0.13408208209344147,0.39688398840488215,0.2243740147120048,0.16626388292025351,0.15851642830915055,-0.07055514194224136,0.028883349436932125,-0.09068136103530644,-0.008833961386326169,-0.1254031459871201,-0.05613815836901994,-0.0652326407070266,0.11574698882420065,0.01573030581403341,-0.15244188864191438,0.0004131561470069585,0.029924709255165237,-0.11592290626214873,-0.04341483824884662,0.2311352534222257,-0.13156949081859215,0.0175423232979561,-0.16307197310441826,-0.037677331011032204,-0.08092216840676023,0.01663053891511118,0.057380571627618074,0.0755562172026059,0.22056453980345167
11226.0,True,6.132075471698116,31.603773584905664,49.0566037735849,31.603773584905664,33.9622641509434,39.62264150943396,37.735849056603776,63.679245283018865,39.62264150943396,29.24528301886793,41.9811320754717,1267,18187,82.54086538461539,1.13884430176565,4.628955696202532,8.847883597883598,25.16668685645064,0.19862184590898926,0.825033301029679,0.8801592138478181,0.07011580448868436,0.15829787511617704,0.4200654844117144,0.13534354184100406,0.2102118246509456,0.13943645531692558,-0.057548228005825326,0.01979108524668837,-0.10737944785489713,0.006313284498997962,-0.1172299956966243,-0.05741162457994178,-0.07074601618765444,0.10224535246351467,-0.0025869692523300338,-0.14051767419660582,0.008487976176536141,0.028321671002968774,-0.09248547095670888,-0.0340503826957095,0.22191135178584248,-0.1297585293016213,0.028529480980540964,-0.16590697766950085,-0.0372084661177601,-0.07054207965713577,0.027577818562882,0.05632686718833045,0.05699318951396056,0.2118738264662387
10009.0,False,11.320754716981128,57.54716981132076,87.73584905660377,73.58490566037736,31.603773584905664,30.66037735849057,68.86792452830188,87.73584905660377,77.83018867924528,39.62264150943396,31.603773584905664,4048,64091,157.68355065195587,1.1173353520060558,4.610141509433962,9.554634904194716,26.25103277334068,0.2221533854279613,0.8333411801156705,0.8969935069699192,0.07973851921631965,0.161476040845633,0.4143372264807113,0.20226203628807826,0.13596481898105342,0.15448423273797962,-0.08535072980267032,0.022578197568837503,-0.0985180419066109,0.00539102006987175,-0.13999614323166054,-0.0246570247000756,-0.057947075269168036,0.1055077556863265,0.028013586057605296,-0.15371097953088567,0.024650549006508787,0.04532212735528598,-0.10163707103192048,-0.0043679455272169175,0.20214058873792806,-0.15117871238260108,0.036467233523602434,-0.16162914844131301,-0.03182307780226256,-0.06704850533588036,0.007160559256487014,0.08561314004169923,0.06467766655013606,0.2212387374090088
11201.0,False,1.8867924528301785,87.26415094339623,91.50943396226415,86.32075471698113,83.9622641509434,78.30188679245283,89.15094339622641,83.01886792452831,84.43396226415095,92.92452830188678,89.15094339622641,1640,19424,162.1326341764343,1.107187112763321,4.750319284802044,9.718328840970349,27.119991132295073,0.22194861739493554,0.8402779859225185,0.9102602313432836,0.08807878419502935,0.12269597523005668,0.3887794745721793,0.25115314878722383,0.14284422568615973,0.16107042280629727,-0.07567143027592135,0.02177780236510116,-0.06707453939597535,-0.012193852292686012,-0.11910164631759244,-0.0632445597266081,-0.062379519025228924,0.12706360411475245,0.03684882138339758,-0.15737112484206706,-0.0016054082743268505,0.04205486161974482,-0.11119056250707804,-0.05486987394952764,0.2258415113559917,-0.13982373581225893,0.02515776254147,-0.1527790258785109,-0.038901974749152836,-0.08815924967002534,0.016905095059303897,0.0701873855756993,0.0866377076937008,0.2242432000372173
