ward,disadvantaged,index_change,t1_index_perc,t1_age_perc,t1_edu_perc,t1_income_perc,t1_house_perc,t2_index_perc,t2_age_perc,t2_edu_perc,t2_income_perc,t2_house_perc,count_listings,count_reviews,price,bedrooms,star_rating,review_rating_location,review_len,location_words_perc,sent_comp,sent_comp_location,lda_1,lda_2,lda_3,lda_4,lda_5,dtv_1,dtv_2,dtv_3,dtv_4,dtv_5,dtv_6,dtv_7,dtv_8,dtv_9,dtv_10,dtv_11,dtv_12,dtv_13,dtv_14,dtv_15,dtv_16,dtv_17,dtv_18,dtv_19,dtv_20,dtv_21,dtv_22,dtv_23,dtv_24,dtv_25
E05000381,True,24.73347547974414,19.82942430703625,83.36886993603413,28.46481876332622,5.1172707889125775,10.23454157782517,44.562899786780385,85.9275053304904,49.46695095948828,8.528784648187639,50.959488272921114,86,1586,66.58333333333333,1.3452380952380951,93.375,9.375,21.119510439164863,0.20381335201354212,0.8333886969042477,0.8752737556561085,0.1153790378779484,0.2235967788464457,0.1316386307727162,0.37711956908375216,0.14725189896124766,-0.017812458403679912,0.1766117059424871,0.16395566380313545,0.06454040987588583,0.12168929867111256,0.029365173589227706,-0.1077875591994044,-0.03474565409281045,-0.1562526739928925,0.07439787057006284,0.07398235117518756,-0.08502394397577266,-0.06557359528971136,-0.14978767919647987,-0.0250417093256984,0.09425080269435993,-0.14302422468737572,-0.006204228617766449,0.01302076938946249,-0.04515488055171376,0.02046761226643693,0.06269866009009835,-0.018659170308834933,0.019922390486548463,-0.04822814677133915
E05000641,False,3.624733475479744,93.81663113006395,91.89765458422177,82.30277185501066,88.4861407249467,41.25799573560768,97.44136460554373,84.64818763326225,90.6183368869936,96.58848614072495,68.65671641791045,123,2404,200.2032520325204,1.4146341463414631,91.25833333333334,9.866666666666667,25.099815157116453,0.281643022040152,0.8398331330868762,0.8790780201342282,0.09141557786894304,0.26633620470961944,0.2051477443518086,0.2458601865789193,0.18595953856322867,-0.06489963686186379,0.1629411438316546,0.17202642220429118,0.04017654842638957,0.09466431566666644,0.029016697484725774,-0.13100723448418355,-0.02542586718521873,-0.16230474990370164,0.057893242696085236,0.05848990307032735,-0.09984737403458198,-0.06443950885594205,-0.16069825616674438,0.01611695550241796,0.0882544490657946,-0.16153288541023494,-0.032914451204072125,0.028524862984846893,-0.02988237911036128,-0.0006440260095989082,0.08587253925657991,-0.020686959196290263,0.04739415130155599,-0.1125676352105592
E05000628,False,14.498933901918967,60.76759061833689,79.53091684434969,33.475479744136464,52.23880597014925,58.52878464818763,75.26652452025586,77.18550106609808,71.85501066098081,48.400852878464825,61.40724946695096,66,888,83.37878787878788,1.2727272727272727,94.92307692307692,9.676923076923076,21.628140703517584,0.19485912607095626,0.8570669597989949,0.8924731898238748,0.12716720866076836,0.17656924984834374,0.11300890561282148,0.4420601475653917,0.1361874388027749,-0.04387050761590272,0.177175002287469,0.15989012142757994,0.053285340773721664,0.10764568960048426,0.029845104067912208,-0.11455847356183545,-0.05506306474989054,-0.15076985076799915,0.07149446150309924,0.07640552438556482,-0.10748454561876336,-0.06790362357986937,-0.14622942503408912,-0.03253315377509325,0.09907287988845664,-0.15378332837043393,0.002965074660654013,-0.014496047863031897,-0.08054080623574306,0.029670676805835683,0.03192995062788063,-0.01862454437039688,0.043077751524998265,-0.037119419548827096
E05000045,False,-7.675906183368872,66.73773987206822,65.88486140724947,65.35181236673773,60.98081023454158,48.18763326226014,59.06183368869936,66.09808102345416,71.42857142857143,52.02558635394456,36.67377398720682,48,952,60.64583333333334,1.2291666666666667,94.15555555555555,9.222222222222221,24.286465177398163,0.18956755418338148,0.8728777923784494,0.9088216216216216,0.12731034006145092,0.17923934871646602,0.09016930825675444,0.4498120504094877,0.14784534599475374,0.0009358223070575321,0.19397229905351604,0.16015808095692924,0.07350378545896752,0.10912768053133824,0.02210954587058573,-0.12452149002770126,-0.03837830902304582,-0.16384030346697168,0.10306732298910487,0.1043010644232484,-0.07417890294552132,-0.0640136264137613,-0.16067191819363896,-0.04067724340916327,0.0922196327727057,-0.14587437029741032,0.005686688757759003,0.014713895557027274,-0.06647847647976872,0.04495432272534475,0.041765808129273774,-0.023260066770541474,0.004326232610645633,-0.035239998206989434
E05000524,False,-6.6098081023454265,98.08102345415779,43.49680170575693,99.57356076759062,96.16204690831556,90.93816631130063,91.47121535181236,20.042643923240934,94.88272921108742,93.71002132196162,92.32409381663113,58,1405,99.13793103448276,1.3793103448275863,95.56896551724138,9.896551724137927,25.95062638172439,0.22367116362629488,0.8781575534266765,0.8968759297520661,0.17926265059043114,0.1219639702649978,0.1929999726948685,0.3564425729717524,0.14406486530908347,-0.06730657208377362,0.1714449040307327,0.17310849700741435,0.040311119892660736,0.1265829929544883,0.02185438517040671,-0.13959477874247925,-0.07573311224543522,-0.1416850198375462,0.055090678465652486,0.11207674680468672,-0.13515597091374856,-0.09106765454553524,-0.13257867644500473,-0.036792279581928856,0.10272451054897466,-0.15397199880751775,-0.009409495649208859,-0.04237715389695392,-0.10118343184723376,0.048011896292577655,0.045040850670916094,-0.036107207009126216,0.04139905225315873,-0.05347959993997582
E05000270,False,3.518123667377409,79.95735607675904,73.56076759061834,84.32835820895522,62.6865671641791,50.31982942430704,83.47547974413646,31.98294243070363,95.94882729211088,80.59701492537314,67.80383795309169,39,990,66.57894736842105,1.3421052631578947,96.5945945945946,9.62162162162162,25.70842824601367,0.18155582411685245,0.9061009111617312,0.928280811808118,0.09718623455690224,0.11714267482077342,0.1834731264281721,0.4806665718143887,0.11540160162675625,-0.01564957203487969,0.2096590038402492,0.19506469164372486,0.061461547258195186,0.11590441715479816,0.007066891296514906,-0.14481104817062432,-0.03530627938011578,-0.17040245928114772,0.10440195355863216,0.12138370523041092,-0.11840695370080698,-0.09121722085687814,-0.13542991068483606,-0.037596181176019705,0.09167767351066528,-0.17004501610043127,-0.004947505516685854,-0.04163708485382042,-0.08254349408817442,0.07850035074140965,0.04274805796199802,-0.0269297543206546,0.01622555476971605,-0.05044948527461357
E05000263,True,41.364605543710034,13.432835820895527,92.32409381663112,13.113006396588474,3.411513859275061,2.132196162046924,54.797441364605554,89.55223880597015,69.29637526652452,19.189765458422173,38.80597014925373,105,2448,97.92233009708738,1.6310679611650485,94.53,9.41,24.834048640915594,0.2226967302924852,0.8670460181211256,0.901536863823934,0.1225813217523286,0.2516854074053044,0.12171734900657455,0.3622234820125782,0.13674402843386246,-0.023519476199141003,0.1838096146293373,0.1597979442381003,0.0710064879779704,0.10229553618441364,0.026916166664931487,-0.11867226136979454,-0.03530244043173067,-0.17111180638022294,0.0774506880723564,0.08624818247638749,-0.09275469593559962,-0.07042260072098276,-0.1492823899397986,-0.030051723879171426,0.09330439544892828,-0.1522474189791854,-0.017707264812606684,0.004157184861147617,-0.06890568923558686,0.021291666240734204,0.05518680656878245,-0.027849783982892718,0.0387727047577072,-0.058377753055631726
E05000635,True,12.47334754797441,25.15991471215352,84.00852878464819,24.946695095948826,30.70362473347548,5.650319829424305,37.63326226012793,75.69296375266525,54.15778251599147,4.690831556503198,38.37953091684435,89,1431,91.47126436781609,1.3333333333333333,94.44705882352942,9.285714285714286,26.359310910582447,0.2383770084306688,0.8627733388022969,0.8981131756756756,0.1261076599877508,0.2412802824105722,0.1837306353985542,0.30570285156341703,0.1377906767862304,-0.03341353625338754,0.1889415716989873,0.1634033572703632,0.04667483375257246,0.1040593756772637,0.02699572224347076,-0.11831767332097386,-0.034253640460254205,-0.15861129182967884,0.06122617541310599,0.08002980478236903,-0.09221304107910168,-0.06893329046350706,-0.1492200239187231,-0.01927184666732996,0.08786402971062991,-0.16660254703807387,-0.008870165558007391,0.0004293996685956567,-0.05311228224266186,0.03004046401040694,0.0686883228104997,-0.01995646422295801,0.03802862605190073,-0.0686670692544963
E05000053,False,-22.38805970149253,62.04690831556504,41.36460554371002,84.32835820895522,70.57569296375267,31.02345415778251,39.6588486140725,46.90831556503198,52.02558635394456,52.23880597014925,29.424307036247342,23,207,176.77272727272728,1.5,96.0,9.476190476190476,22.63297872340425,0.236496530367016,0.8791813829787234,0.90509609375,0.1633587096163884,0.1891764327041567,0.08762563652596732,0.4413734827230269,0.11322782575549124,-0.022643370189434017,0.1719637686966304,0.15032355299100594,0.07816226494856468,0.11316676006560768,0.03611621188905159,-0.0986985398624885,-0.03955748601459918,-0.16168023521288674,0.10369509689205207,0.09268473612052944,-0.06189634795102509,-0.07342490995367196,-0.15294598868027567,-0.02421511958620729,0.10500742001904848,-0.1589723709101313,0.0028031796845174,0.01589365765895754,-0.061394841431892735,0.03238137047384875,0.0520730182426942,-0.021457379011058327,0.027257461629020287,-0.03320639240151417
E05000054,False,-36.140724946695094,76.33262260127931,19.616204690831555,91.36460554371003,76.11940298507463,77.07889125799574,40.191897654584224,23.027718550106613,58.42217484008529,59.27505330490405,42.43070362473347,10,148,55.6,1.2,95.5,9.3,20.830882352941178,0.1638835922642069,0.8196772058823529,0.8491916666666667,0.08917791290920885,0.18921295047381564,0.11937760965049485,0.41393943259026855,0.1839004680856733,-0.057883668315084576,0.16746972591842196,0.16622200497316525,0.024308151134070668,0.09820949497910024,0.02664607518261833,-0.12908703727204254,-0.050067958377493435,-0.13106000290067374,0.05857275343869867,0.08474726263546686,-0.09197619623121094,-0.060711141617503024,-0.15843807159827145,-0.006368999321078745,0.08051403493086315,-0.1436066326645874,-0.020676860884551014,-0.016374246602936182,-0.0665314314640401,-0.016020119008959118,0.056961435483090635,-0.006312628799645716,0.042009748418315535,-0.047725221060853286
